state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n
OH,9,3,1,4,1,0,0,1517
OH,9,3,1,4,1,0,1,15293
OH,9,3,1,4,1,1,1,21243
OH,9,3,1,4,1,2,1,1755
OH,9,3,1,4,1,3,1,2588
OH,9,3,1,4,2,0,0,327
OH,9,3,1,4,2,0,1,1309
OH,9,3,1,4,2,1,1,3065
OH,9,3,1,4,2,2,1,6575
OH,9,3,1,4,2,3,0,506
OH,9,3,1,4,2,3,1,2380
OH,9,3,1,5,0,0,0,1636
OH,9,3,1,5,0,0,1,17197
OH,9,3,1,5,0,1,1,33531
OH,9,3,1,5,0,2,0,1904
OH,9,3,1,5,0,2,1,5445
OH,9,3,1,5,0,3,1,5236
OH,9,3,1,5,1,0,1,7230
OH,9,3,1,5,1,1,0,1607
OH,9,3,1,5,1,1,1,4969
OH,9,3,1,5,1,2,1,6218
OH,9,3,1,5,1,3,1,3838
OH,9,3,1,5,2,0,1,1279
OH,9,3,1,5,2,1,1,1934
OH,9,3,1,5,2,2,1,2737
OH,9,3,1,5,2,3,1,803
OH,9,3,2,2,0,0,0,595
OH,9,3,2,2,0,0,1,2435
OH,9,3,2,2,0,1,1,3058
OH,9,3,2,2,1,0,1,1217
OH,9,3,2,2,2,2,0,595
OH,9,3,2,2,2,2,1,1217
OH,9,3,2,3,0,0,0,3454
OH,9,3,2,3,0,0,1,7163
OH,9,3,2,3,0,1,1,3567
OH,9,3,2,3,1,0,0,1585
OH,9,3,2,3,1,0,1,6002
OH,9,3,2,3,1,1,1,1897
OH,9,3,2,3,1,2,1,2067
OH,9,3,2,3,1,3,1,1784
OH,9,3,2,3,2,0,0,7474
OH,9,3,2,3,2,0,1,12429
OH,9,3,2,3,2,1,1,6229
OH,9,3,2,3,2,2,1,3143
OH,9,3,2,4,0,0,0,4926
